Grammont;Cimetière Saint-Étienne;Albert Einstein;Zénith;Georges Méliès;Place de France;Samuel Morse;Évariste Galois;Guglielmo Marconi;Volta Fizeau;Louis Lépine;Eurêka;Alfred Nobel;Pinville;François Couperin;Vieille Poste;Saint-Michel;Place de l'Europe;Paul Painlevé;Colverts;Saint-Jean;Marie Durand;André Malraux;Semard;Pierre Laroque;Apollo
15:45;15:46;15:47;15:49;15:54;15:54;15:56;15:57;15:58;16:00;16:00;16:01;16:02;16:03;16:04;16:05;16:07;16:10;16:13;16:15;16:15;16:17;16:17;16:18;16:18;16:20
15:59;16:00;16:01;16:03;16:08;16:08;16:10;16:11;16:12;16:14;16:14;16:15;16:16;16:17;16:18;16:19;16:21;16:24;16:28;16:29;16:30;16:32;16:32;16:33;16:33;16:35
16:14;16:15;16:16;16:18;16:23;16:23;16:25;16:26;16:27;16:29;16:29;16:30;16:31;16:32;16:33;16:34;16:36;16:39;16:43;16:44;16:45;16:47;16:47;16:48;16:48;16:50
16:28;16:29;16:30;16:32;16:37;16:37;16:39;16:40;16:42;16:44;16:44;16:45;16:46;16:47;16:48;16:49;16:51;16:54;16:58;16:59;17:00;17:02;17:02;17:03;17:03;17:05
16:43;16:44;16:45;16:47;16:52;16:52;16:54;16:55;16:57;16:59;16:59;17:00;17:01;17:02;17:03;17:04;17:06;17:09;17:13;17:14;17:15;17:17;17:17;17:18;17:18;17:20
16:55;16:56;16:57;16:59;17:04;17:04;17:06;17:08;17:10;17:12;17:12;17:14;17:15;17:16;17:17;17:18;17:20;17:24;17:28;17:29;17:30;17:32;17:32;17:33;17:33;17:35
17:09;17:10;17:11;17:13;17:19;17:19;17:22;17:24;17:26;17:28;17:28;17:30;17:31;17:32;17:33;17:34;17:36;17:39;17:43;17:44;17:45;17:47;17:47;17:48;17:48;17:50
17:22;17:23;17:24;17:27;17:33;17:33;17:36;17:38;17:40;17:42;17:42;17:44;17:45;17:46;17:47;17:49;17:51;17:54;17:58;17:59;18:00;18:02;18:02;18:03;18:03;18:05
17:37;17:38;17:39;17:42;17:48;17:48;17:51;17:53;17:55;17:57;17:57;17:59;18:00;18:01;18:02;18:04;18:06;18:09;18:13;18:14;18:15;18:17;18:17;18:18;18:18;18:20
17:53;17:54;17:55;17:58;18:04;18:04;18:07;18:09;18:11;18:13;18:13;18:15;18:16;18:17;18:18;18:20;18:22;18:25;18:29;18:30;18:31;18:33;18:33;18:34;18:34;18:36
18:10;18:11;18:12;18:14;18:20;18:20;18:22;18:24;18:26;18:28;18:28;18:30;18:31;18:32;18:33;18:35;18:37;18:40;18:44;18:45;18:46;18:48;18:48;18:49;18:49;18:51
18:26;18:27;18:28;18:30;18:36;18:36;18:38;18:40;18:42;18:44;18:44;18:46;18:47;18:48;18:49;18:50;18:52;18:55;18:59;19:00;19:01;19:03;19:03;19:04;19:04;19:06
18:43;18:44;18:45;18:47;18:52;18:52;18:54;18:55;18:57;18:59;18:59;19:01;19:02;19:03;19:04;19:05;19:07;19:10;19:14;19:15;19:16;19:18;19:18;19:19;19:19;19:21
19:01;19:02;19:02;19:04;19:09;19:09;19:11;19:12;19:13;19:15;19:15;19:16;19:17;19:18;19:19;19:20;19:22;19:25;19:28;19:30;19:30;19:32;19:32;19:33;19:33;19:35
19:16;19:17;19:17;19:19;19:24;19:24;19:26;19:27;19:28;19:30;19:30;19:31;19:32;19:33;19:34;19:35;19:37;19:40;19:43;19:45;19:45;19:47;19:47;19:48;19:48;19:50
19:34;19:35;19:35;19:37;19:42;19:42;19:43;19:44;19:46;19:47;19:47;19:48;19:49;19:50;19:50;19:51;19:53;19:55;19:58;20:00;20:00;20:02;20:02;20:03;20:03;20:05
19:50;19:51;19:51;19:53;19:58;19:58;19:59;20:00;20:02;20:03;20:03;20:04;20:04;20:05;20:06;20:06;20:08;20:10;20:13;20:14;20:14;20:16;20:16;20:17;20:17;20:19
20:10;20:11;20:11;20:13;20:17;20:17;20:18;20:19;20:21;20:22;20:22;20:23;20:23;20:24;20:25;20:25;20:27;20:30;20:33;20:34;20:34;20:36;20:36;20:37;20:37;20:39
